mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
14004,CORDOBA,SAN JUSTO,voto_blanco_nulo,90,28,0.3111111111111111,Blank/null vote,31.11111111111111
14005,CORDOBA,PUNILLA,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
14005,CORDOBA,PUNILLA,voto_blanco_nulo,90,32,0.35555555555555557,Blank/null vote,35.55555555555556
18001,CORRIENTES,CAPITAL,intencion_migrar,90,0,0,Migration intention,0
18001,CORRIENTES,CAPITAL,voto_blanco_nulo,90,17,0.18888888888888888,Blank/null vote,18.88888888888889
22001,CHACO,SAN FERNANDO,intencion_migrar,184,1,0.005434782608695652,Migration intention,0.5434782608695652
22001,CHACO,SAN FERNANDO,voto_blanco_nulo,184,37,0.20108695652173914,Blank/null vote,20.108695652173914
22002,CHACO,COMANDANTE FERNANDEZ,intencion_migrar,108,0,0,Migration intention,0
22002,CHACO,COMANDANTE FERNANDEZ,voto_blanco_nulo,108,25,0.23148148148148148,Blank/null vote,23.14814814814815
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,intencion_migrar,91,0,0,Migration intention,0
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,voto_blanco_nulo,91,20,0.21978021978021978,Blank/null vote,21.978021978021978
22004,CHACO,GENERAL GUEMES,intencion_migrar,73,0,0,Migration intention,0
22004,CHACO,GENERAL GUEMES,voto_blanco_nulo,73,19,0.2602739726027397,Blank/null vote,26.027397260273972
22008,CHACO,LIBERTAD,intencion_migrar,90,0,0,Migration intention,0
22008,CHACO,LIBERTAD,voto_blanco_nulo,90,21,0.23333333333333334,Blank/null vote,23.333333333333332
22013,CHACO,CHACABUCO,intencion_migrar,90,0,0,Migration intention,0
22013,CHACO,CHACABUCO,voto_blanco_nulo,90,32,0.35555555555555557,Blank/null vote,35.55555555555556
30001,ENTRE RIOS,PARANA,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
30001,ENTRE RIOS,PARANA,voto_blanco_nulo,90,13,0.14444444444444443,Blank/null vote,14.444444444444443
42001,LA PAMPA,CAPITAL,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
42001,LA PAMPA,CAPITAL,voto_blanco_nulo,90,14,0.15555555555555556,Blank/null vote,15.555555555555555
42003,LA PAMPA,TOAY,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
42003,LA PAMPA,TOAY,voto_blanco_nulo,90,21,0.23333333333333334,Blank/null vote,23.333333333333332
42007,LA PAMPA,UTRACAN,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
42007,LA PAMPA,UTRACAN,voto_blanco_nulo,90,17,0.18888888888888888,Blank/null vote,18.88888888888889
50001,MENDOZA,GUAYMALLEN,intencion_migrar,92,4,0.043478260869565216,Migration intention,4.3478260869565215
50001,MENDOZA,GUAYMALLEN,voto_blanco_nulo,92,18,0.1956521739130435,Blank/null vote,19.565217391304348
50003,MENDOZA,GODOY CRUZ,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
50003,MENDOZA,GODOY CRUZ,voto_blanco_nulo,90,11,0.12222222222222222,Blank/null vote,12.222222222222221
50008,MENDOZA,CAPITAL,intencion_migrar,90,3,0.03333333333333333,Migration intention,3.3333333333333335
50008,MENDOZA,CAPITAL,voto_blanco_nulo,90,21,0.23333333333333334,Blank/null vote,23.333333333333332
50015,MENDOZA,TUPUNGATO,intencion_migrar,182,0,0,Migration intention,0
50015,MENDOZA,TUPUNGATO,voto_blanco_nulo,182,40,0.21978021978021978,Blank/null vote,21.978021978021978
58001,NEUQUEN,CONFLUENCIA,intencion_migrar,91,1,0.01098901098901099,Migration intention,1.098901098901099
58001,NEUQUEN,CONFLUENCIA,voto_blanco_nulo,91,21,0.23076923076923078,Blank/null vote,23.076923076923077
62001,RIO NEGRO,GENERAL ROCA,intencion_migrar,273,3,0.01098901098901099,Migration intention,1.098901098901099
62001,RIO NEGRO,GENERAL ROCA,voto_blanco_nulo,273,65,0.23809523809523808,Blank/null vote,23.809523809523807
66001,SALTA,CAPITAL,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
66001,SALTA,CAPITAL,voto_blanco_nulo,90,22,0.24444444444444444,Blank/null vote,24.444444444444443
66005,SALTA,LA CALDERA,intencion_migrar,92,0,0,Migration intention,0
66005,SALTA,LA CALDERA,voto_blanco_nulo,92,15,0.16304347826086957,Blank/null vote,16.304347826086957
66008,SALTA,ROSARIO DE LA FRONTERA,intencion_migrar,91,0,0,Migration intention,0
66008,SALTA,ROSARIO DE LA FRONTERA,voto_blanco_nulo,91,17,0.18681318681318682,Blank/null vote,18.681318681318682
70004,SAN JUAN,RIVADAVIA,intencion_migrar,92,0,0,Migration intention,0
70004,SAN JUAN,RIVADAVIA,voto_blanco_nulo,92,15,0.16304347826086957,Blank/null vote,16.304347826086957
82001,SANTA FE,ROSARIO,intencion_migrar,364,14,0.038461538461538464,Migration intention,3.8461538461538463
82001,SANTA FE,ROSARIO,voto_blanco_nulo,364,86,0.23626373626373626,Blank/null vote,23.626373626373624
82003,SANTA FE,GENERAL LOPEZ,intencion_migrar,90,2,0.022222222222222223,Migration intention,2.2222222222222223
82003,SANTA FE,GENERAL LOPEZ,voto_blanco_nulo,90,24,0.26666666666666666,Blank/null vote,26.666666666666668
82004,SANTA FE,CASTELLANOS,intencion_migrar,181,2,0.011049723756906077,Migration intention,1.1049723756906076
82004,SANTA FE,CASTELLANOS,voto_blanco_nulo,181,49,0.27071823204419887,Blank/null vote,27.071823204419886
86002,SANTIAGO DEL ESTERO,BANDA,intencion_migrar,18,0,0,Migration intention,0
86002,SANTIAGO DEL ESTERO,BANDA,voto_blanco_nulo,18,2,0.1111111111111111,Blank/null vote,11.11111111111111
86005,SANTIAGO DEL ESTERO,ROBLES,intencion_migrar,75,2,0.02666666666666667,Migration intention,2.666666666666667
86005,SANTIAGO DEL ESTERO,ROBLES,voto_blanco_nulo,75,20,0.26666666666666666,Blank/null vote,26.666666666666668
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,intencion_migrar,180,1,0.005555555555555556,Migration intention,0.5555555555555556
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,voto_blanco_nulo,180,46,0.25555555555555554,Blank/null vote,25.555555555555554
90001,TUCUMAN,CAPITAL,intencion_migrar,92,1,0.010869565217391304,Migration intention,1.0869565217391304
90001,TUCUMAN,CAPITAL,voto_blanco_nulo,92,22,0.2391304347826087,Blank/null vote,23.91304347826087
90001,TUCUMAN,TAFI VIAJO,intencion_migrar,181,3,0.016574585635359115,Migration intention,1.6574585635359116
90001,TUCUMAN,TAFI VIAJO,voto_blanco_nulo,181,28,0.15469613259668508,Blank/null vote,15.469613259668508
90001,TUCUMAN,YERBA BUENA,intencion_migrar,94,1,0.010638297872340425,Migration intention,1.0638297872340425
90001,TUCUMAN,YERBA BUENA,voto_blanco_nulo,94,9,0.09574468085106383,Blank/null vote,9.574468085106384
90002,TUCUMAN,CRUZ ALTA,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
90002,TUCUMAN,CRUZ ALTA,voto_blanco_nulo,91,12,0.13186813186813187,Blank/null vote,13.186813186813188
