mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
6010,BUENOS AIRES,PERGAMINO,secundaria_completa_o_mas,90,1,0.011111111111111112,High school or more,1.1111111111111112
6015,BUENOS AIRES,BERISSO,secundaria_completa_o_mas,90,1,0.011111111111111112,High school or more,1.1111111111111112
6069,BUENOS AIRES,MAR CHIQUITA,secundaria_completa_o_mas,90,1,0.011111111111111112,High school or more,1.1111111111111112
30001,ENTRE RIOS,PARANA,secundaria_completa_o_mas,90,1,0.011111111111111112,High school or more,1.1111111111111112
42001,LA PAMPA,CAPITAL,secundaria_completa_o_mas,90,1,0.011111111111111112,High school or more,1.1111111111111112
6074,BUENOS AIRES,LA MATANZA,secundaria_completa_o_mas,453,5,0.011037527593818985,High school or more,1.1037527593818985
58001,NEUQUEN,CONFLUENCIA,secundaria_completa_o_mas,91,1,0.01098901098901099,High school or more,1.098901098901099
22001,CHACO,SAN FERNANDO,secundaria_completa_o_mas,184,2,0.010869565217391304,High school or more,1.0869565217391304
90001,TUCUMAN,YERBA BUENA,secundaria_completa_o_mas,94,1,0.010638297872340425,High school or more,1.0638297872340425
6011,BUENOS AIRES,LUJAN,secundaria_completa_o_mas,180,1,0.005555555555555556,High school or more,0.5555555555555556
50015,MENDOZA,TUPUNGATO,secundaria_completa_o_mas,182,0,0,High school or more,0
82004,SANTA FE,CASTELLANOS,secundaria_completa_o_mas,181,0,0,High school or more,0
86007,SANTIAGO DEL ESTERO,GENERAL TABOADA,secundaria_completa_o_mas,180,0,0,High school or more,0
22002,CHACO,COMANDANTE FERNANDEZ,secundaria_completa_o_mas,108,0,0,High school or more,0
66005,SALTA,LA CALDERA,secundaria_completa_o_mas,92,0,0,High school or more,0
70004,SAN JUAN,RIVADAVIA,secundaria_completa_o_mas,92,0,0,High school or more,0
6017,BUENOS AIRES,SAN VICENTE,secundaria_completa_o_mas,91,0,0,High school or more,0
6051,BUENOS AIRES,BARADERO,secundaria_completa_o_mas,91,0,0,High school or more,0
22003,CHACO,LIBERTADOR GENERAL SAN MARTIN,secundaria_completa_o_mas,91,0,0,High school or more,0
6086,BUENOS AIRES,JOSE C. PAZ,secundaria_completa_o_mas,90,0,0,High school or more,0
22008,CHACO,LIBERTAD,secundaria_completa_o_mas,90,0,0,High school or more,0
42003,LA PAMPA,TOAY,secundaria_completa_o_mas,90,0,0,High school or more,0
42007,LA PAMPA,UTRACAN,secundaria_completa_o_mas,90,0,0,High school or more,0
82003,SANTA FE,GENERAL LOPEZ,secundaria_completa_o_mas,90,0,0,High school or more,0
86005,SANTIAGO DEL ESTERO,ROBLES,secundaria_completa_o_mas,75,0,0,High school or more,0
22004,CHACO,GENERAL GUEMES,secundaria_completa_o_mas,73,0,0,High school or more,0
6076,BUENOS AIRES,QUILMES,secundaria_completa_o_mas,18,0,0,High school or more,0
86002,SANTIAGO DEL ESTERO,BANDA,secundaria_completa_o_mas,18,0,0,High school or more,0
