mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,porcentaje_missing,variable_label
42001,LA PAMPA,CAPITAL,izq_der,90,13,0.14444444444444443,14.444444444444443,Left-right ideology
42001,LA PAMPA,CAPITAL,voto_blanco_nulo,90,14,0.15555555555555556,15.555555555555555,Blank/null vote
42003,LA PAMPA,TOAY,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
42003,LA PAMPA,TOAY,izq_der,90,16,0.17777777777777778,17.77777777777778,Left-right ideology
42003,LA PAMPA,TOAY,voto_blanco_nulo,90,21,0.23333333333333334,23.333333333333332,Blank/null vote
42007,LA PAMPA,UTRACAN,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
42007,LA PAMPA,UTRACAN,izq_der,90,24,0.26666666666666666,26.666666666666668,Left-right ideology
42007,LA PAMPA,UTRACAN,voto_blanco_nulo,90,17,0.18888888888888888,18.88888888888889,Blank/null vote
50001,MENDOZA,GUAYMALLEN,intencion_migrar,92,4,0.043478260869565216,4.3478260869565215,Migration intention
50001,MENDOZA,GUAYMALLEN,izq_der,92,10,0.10869565217391304,10.869565217391305,Left-right ideology
50001,MENDOZA,GUAYMALLEN,voto_blanco_nulo,92,18,0.1956521739130435,19.565217391304348,Blank/null vote
50003,MENDOZA,GODOY CRUZ,intencion_migrar,90,2,0.022222222222222223,2.2222222222222223,Migration intention
50003,MENDOZA,GODOY CRUZ,izq_der,90,4,0.044444444444444446,4.444444444444445,Left-right ideology
50003,MENDOZA,GODOY CRUZ,voto_blanco_nulo,90,11,0.12222222222222222,12.222222222222221,Blank/null vote
50008,MENDOZA,CAPITAL,intencion_migrar,90,3,0.03333333333333333,3.3333333333333335,Migration intention
50008,MENDOZA,CAPITAL,izq_der,90,7,0.07777777777777778,7.777777777777778,Left-right ideology
50008,MENDOZA,CAPITAL,voto_blanco_nulo,90,21,0.23333333333333334,23.333333333333332,Blank/null vote
50015,MENDOZA,TUPUNGATO,intencion_migrar,182,0,0,0,Migration intention
50015,MENDOZA,TUPUNGATO,izq_der,182,31,0.17032967032967034,17.032967032967033,Left-right ideology
50015,MENDOZA,TUPUNGATO,voto_blanco_nulo,182,40,0.21978021978021978,21.978021978021978,Blank/null vote
58001,NEUQUEN,CONFLUENCIA,intencion_migrar,91,1,0.01098901098901099,1.098901098901099,Migration intention
58001,NEUQUEN,CONFLUENCIA,izq_der,91,14,0.15384615384615385,15.384615384615385,Left-right ideology
58001,NEUQUEN,CONFLUENCIA,voto_blanco_nulo,91,21,0.23076923076923078,23.076923076923077,Blank/null vote
62001,RIO NEGRO,GENERAL ROCA,intencion_migrar,273,3,0.01098901098901099,1.098901098901099,Migration intention
62001,RIO NEGRO,GENERAL ROCA,izq_der,273,48,0.17582417582417584,17.582417582417584,Left-right ideology
62001,RIO NEGRO,GENERAL ROCA,voto_blanco_nulo,273,65,0.23809523809523808,23.809523809523807,Blank/null vote
66001,SALTA,CAPITAL,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
66001,SALTA,CAPITAL,izq_der,90,11,0.12222222222222222,12.222222222222221,Left-right ideology
66001,SALTA,CAPITAL,voto_blanco_nulo,90,22,0.24444444444444444,24.444444444444443,Blank/null vote
66005,SALTA,LA CALDERA,intencion_migrar,92,0,0,0,Migration intention
66005,SALTA,LA CALDERA,izq_der,92,5,0.05434782608695652,5.434782608695652,Left-right ideology
66005,SALTA,LA CALDERA,voto_blanco_nulo,92,15,0.16304347826086957,16.304347826086957,Blank/null vote
66008,SALTA,ROSARIO DE LA FRONTERA,intencion_migrar,91,0,0,0,Migration intention
66008,SALTA,ROSARIO DE LA FRONTERA,izq_der,91,15,0.16483516483516483,16.483516483516482,Left-right ideology
66008,SALTA,ROSARIO DE LA FRONTERA,voto_blanco_nulo,91,17,0.18681318681318682,18.681318681318682,Blank/null vote
70004,SAN JUAN,RIVADAVIA,intencion_migrar,92,0,0,0,Migration intention
70004,SAN JUAN,RIVADAVIA,izq_der,92,8,0.08695652173913043,8.695652173913043,Left-right ideology
70004,SAN JUAN,RIVADAVIA,voto_blanco_nulo,92,15,0.16304347826086957,16.304347826086957,Blank/null vote
82001,SANTA FE,ROSARIO,intencion_migrar,364,14,0.038461538461538464,3.8461538461538463,Migration intention
82001,SANTA FE,ROSARIO,izq_der,364,41,0.11263736263736264,11.263736263736265,Left-right ideology
82001,SANTA FE,ROSARIO,voto_blanco_nulo,364,86,0.23626373626373626,23.626373626373624,Blank/null vote
82003,SANTA FE,GENERAL LOPEZ,intencion_migrar,90,2,0.022222222222222223,2.2222222222222223,Migration intention
82003,SANTA FE,GENERAL LOPEZ,izq_der,90,15,0.16666666666666666,16.666666666666664,Left-right ideology
82003,SANTA FE,GENERAL LOPEZ,voto_blanco_nulo,90,24,0.26666666666666666,26.666666666666668,Blank/null vote
82004,SANTA FE,CASTELLANOS,intencion_migrar,181,2,0.011049723756906077,1.1049723756906076,Migration intention
